Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
mira-wool-topcoat,"Mira Wool Topcoat","<p>A long-line wool topcoat tailored for fluid, considered movement. Cut from a midweight Italian wool blend with a soft drape, finished with horn buttons and a wide notched lapel.</p><p><strong>Materials &amp; Care:</strong> 70% virgin wool, 25% polyamide, 5% cashmere. Lining: 100% viscose. Dry clean only. Made in Portugal.</p>",KOVA,Coat,"new, outerwear",TRUE,Color,Camel,Size,S,,,"MIRA-CAM-S",0,shopify,10,deny,manual,690.00,,TRUE,TRUE,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?auto=format&fit=crop&w=900&q=80,1,Mira Wool Topcoat in Camel,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Camel,Size,M,,,"MIRA-CAM-M",0,shopify,8,deny,manual,690.00,,TRUE,TRUE,,,,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Camel,Size,L,,,"MIRA-CAM-L",0,shopify,5,deny,manual,690.00,,TRUE,TRUE,,,,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Ink,Size,S,,,"MIRA-INK-S",0,shopify,4,deny,manual,690.00,,TRUE,TRUE,https://images.unsplash.com/photo-1551803091-e20673f15770?auto=format&fit=crop&w=900&q=80,2,Mira Wool Topcoat in Ink,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Ink,Size,M,,,"MIRA-INK-M",0,shopify,6,deny,manual,690.00,,TRUE,TRUE,,,,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Ink,Size,L,,,"MIRA-INK-L",0,shopify,3,deny,manual,690.00,,TRUE,TRUE,,,,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Stone,Size,S,,,"MIRA-STN-S",0,shopify,5,deny,manual,690.00,,TRUE,TRUE,,,,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Stone,Size,M,,,"MIRA-STN-M",0,shopify,7,deny,manual,690.00,,TRUE,TRUE,,,,,kg,,
mira-wool-topcoat,"Mira Wool Topcoat",,KOVA,Coat,"new, outerwear",TRUE,Color,Stone,Size,L,,,"MIRA-STN-L",0,shopify,4,deny,manual,690.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse","<p>A fluid silk blouse with a stand collar and concealed placket. Designed to drape softly through the bodice with subtle volume in the sleeve.</p><p><strong>Materials &amp; Care:</strong> 100% sandwashed silk. Hand wash cold or dry clean. Made in Italy.</p>",KOVA,Top,"tops, clothing",TRUE,Color,Ivory,Size,XS,,,"SABL-IVO-XS",0,shopify,4,deny,manual,280.00,,TRUE,TRUE,https://images.unsplash.com/photo-1485518882345-15568b007407?auto=format&fit=crop&w=900&q=80,1,Sable Silk Blouse in Ivory,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Ivory,Size,S,,,"SABL-IVO-S",0,shopify,8,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Ivory,Size,M,,,"SABL-IVO-M",0,shopify,6,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Ivory,Size,L,,,"SABL-IVO-L",0,shopify,4,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Clay,Size,XS,,,"SABL-CLA-XS",0,shopify,3,deny,manual,280.00,,TRUE,TRUE,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=900&q=80,2,Sable Silk Blouse in Clay,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Clay,Size,S,,,"SABL-CLA-S",0,shopify,5,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Clay,Size,M,,,"SABL-CLA-M",0,shopify,7,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Clay,Size,L,,,"SABL-CLA-L",0,shopify,3,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Ink,Size,XS,,,"SABL-INK-XS",0,shopify,4,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Ink,Size,S,,,"SABL-INK-S",0,shopify,6,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Ink,Size,M,,,"SABL-INK-M",0,shopify,5,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
sable-silk-blouse,"Sable Silk Blouse",,KOVA,Top,"tops, clothing",TRUE,Color,Ink,Size,L,,,"SABL-INK-L",0,shopify,3,deny,manual,280.00,,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser","<p>A high-rise pleated trouser with a softly tapered leg. Tailored for ease of movement while retaining a sharp, considered silhouette.</p><p><strong>Materials &amp; Care:</strong> 62% wool, 36% viscose, 2% elastane. Dry clean only. Made in Portugal.</p>",KOVA,Trouser,"sale, clothing",TRUE,Color,Stone,Size,26,,,"HALD-STN-26",0,shopify,5,deny,manual,320.00,420.00,TRUE,TRUE,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=900&q=80,1,Halden Pleated Trouser in Stone,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Stone,Size,28,,,"HALD-STN-28",0,shopify,7,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Stone,Size,30,,,"HALD-STN-30",0,shopify,4,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Stone,Size,32,,,"HALD-STN-32",0,shopify,6,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Ink,Size,26,,,"HALD-INK-26",0,shopify,4,deny,manual,320.00,420.00,TRUE,TRUE,https://images.unsplash.com/photo-1490481651871-ab68de25d43d?auto=format&fit=crop&w=900&q=80,2,Halden Pleated Trouser in Ink,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Ink,Size,28,,,"HALD-INK-28",0,shopify,5,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Ink,Size,30,,,"HALD-INK-30",0,shopify,3,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Olive,Size,26,,,"HALD-OLV-26",0,shopify,4,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Olive,Size,28,,,"HALD-OLV-28",0,shopify,5,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
halden-pleated-trouser,"Halden Pleated Trouser",,KOVA,Trouser,"sale, clothing",TRUE,Color,Olive,Size,30,,,"HALD-OLV-30",0,shopify,6,deny,manual,320.00,420.00,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew","<p>A relaxed cashmere crewneck in a fine 12-gauge knit. Cut slightly oversized through the shoulder for an unstudied, lived-in fit.</p><p><strong>Materials &amp; Care:</strong> 100% Grade-A Mongolian cashmere. Hand wash cold, dry flat. Made in Scotland.</p>",KOVA,Knitwear,"new, knitwear",TRUE,Color,Oat,Size,XS,,,"LINE-OAT-XS",0,shopify,5,deny,manual,410.00,,TRUE,TRUE,https://images.unsplash.com/photo-1576566588028-4147f3842f27?auto=format&fit=crop&w=900&q=80,1,Linea Cashmere Crew in Oat,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Oat,Size,S,,,"LINE-OAT-S",0,shopify,8,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Oat,Size,M,,,"LINE-OAT-M",0,shopify,6,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
linea-cashmere-crew,"Linea Cashmere Crew",,KOVA,Knitwear,"new, knitwear",TRUE,Color,Oat,Size,L,,,"LINE-OAT-L",0,shopify,4,deny,manual,410.00,,TRUE,TRUE,,,,,kg,,
