Folder,File,Size (bytes),Lines
"assets","vela.css","52445","2344"
"assets","vela.js","10451","298"
"config","settings_data.json","249","12"
"config","settings_schema.json","2446","119"
"layout","theme.liquid","7164","166"
"locales","en.default.json","3126","128"
"sections","announcement-bar.liquid","1121","51"
"sections","category-strip.liquid","2635","81"
"sections","editorial-banner.liquid","2614","89"
"sections","featured-collections.liquid","3110","100"
"sections","featured-products.liquid","3659","129"
"sections","footer-group.json","671","26"
"sections","footer.liquid","5050","142"
"sections","header-group.json","504","22"
"sections","header.liquid","3706","118"
"sections","hero.liquid","3785","133"
"sections","main-article.liquid","4997","125"
"sections","main-blog.liquid","7783","196"
"sections","main-collection.liquid","6773","169"
"sections","main-product.liquid","11118","277"
"sections","marquee.liquid","984","40"
"sections","newsletter.liquid","2275","77"
"snippets","icon.liquid","1995","38"
"snippets","product-card.liquid","2875","74"
"templates","404.liquid","614","10"
"templates","article.json","152","11"
"templates","blog.json","214","12"
"templates","cart.liquid","3716","62"
"templates","collection.json","302","14"
"templates/customers","account.liquid","3146","49"
"templates/customers","login.liquid","2574","41"
"templates/customers","register.liquid","2150","39"
"templates","index.json","3603","105"
"templates","page.liquid","361","10"
"templates","password.liquid","2547","46"
"templates","product.json","152","11"
"templates","search.liquid","1515","35"
