"Handle","Title","Top menu","Command","Level","Link: Title","Link: URL"
"main-menu","Main Menu","TRUE","REPLACE","1","New In","/collections/new-in"
"main-menu","Main Menu","TRUE","","1","Shop","/collections/all"
"main-menu","Main Menu","TRUE","","2","Dresses","/collections/dresses"
"main-menu","Main Menu","TRUE","","2","Knitwear","/collections/knitwear"
"main-menu","Main Menu","TRUE","","2","Tailoring","/collections/tailoring"
"main-menu","Main Menu","TRUE","","2","Outerwear","/collections/outerwear"
"main-menu","Main Menu","TRUE","","2","Sale","/collections/sale"
"main-menu","Main Menu","TRUE","","1","Studio","/pages/our-story"
"main-menu","Main Menu","TRUE","","2","Our Story","/pages/our-story"
"main-menu","Main Menu","TRUE","","2","The Atelier","/pages/the-atelier"
"main-menu","Main Menu","TRUE","","2","Sustainability","/pages/sustainability"
"main-menu","Main Menu","TRUE","","2","Journal","/blogs/journal"
"main-menu","Main Menu","TRUE","","2","Press","/pages/press"
"main-menu","Main Menu","TRUE","","1","Journal","/blogs/journal"
"footer-shop","Footer: Shop","FALSE","REPLACE","1","New In","/collections/new-in"
"footer-shop","Footer: Shop","FALSE","","1","Dresses","/collections/dresses"
"footer-shop","Footer: Shop","FALSE","","1","Knitwear","/collections/knitwear"
"footer-shop","Footer: Shop","FALSE","","1","Outerwear","/collections/outerwear"
"footer-shop","Footer: Shop","FALSE","","1","Tailoring","/collections/tailoring"
"footer-shop","Footer: Shop","FALSE","","1","Sale","/collections/sale"
"footer-studio","Footer: Studio","FALSE","REPLACE","1","Our Story","/pages/our-story"
"footer-studio","Footer: Studio","FALSE","","1","The Atelier","/pages/the-atelier"
"footer-studio","Footer: Studio","FALSE","","1","Sustainability","/pages/sustainability"
"footer-studio","Footer: Studio","FALSE","","1","Journal","/blogs/journal"
"footer-studio","Footer: Studio","FALSE","","1","Press","/pages/press"
"footer-studio","Footer: Studio","FALSE","","1","Stockists","/pages/stockists"
"footer-help","Footer: Help","FALSE","REPLACE","1","Contact","/pages/contact"
"footer-help","Footer: Help","FALSE","","1","Shipping","/pages/shipping"
"footer-help","Footer: Help","FALSE","","1","Returns & Exchanges","/pages/returns"
"footer-help","Footer: Help","FALSE","","1","Size Guide","/pages/size-guide"
"footer-help","Footer: Help","FALSE","","1","Garment Care","/pages/garment-care"
"footer-help","Footer: Help","FALSE","","1","FAQ","/pages/faq"
"footer-legal","Footer: Legal","FALSE","REPLACE","1","Privacy Policy","/policies/privacy-policy"
"footer-legal","Footer: Legal","FALSE","","1","Terms of Service","/policies/terms-of-service"
"footer-legal","Footer: Legal","FALSE","","1","Refund Policy","/policies/refund-policy"
"footer-legal","Footer: Legal","FALSE","","1","Cookie Policy","/policies/legal-notice"
